	[Battleaxe] 6.0
	[Wildfire-Staff] 6.0
CAERLEON: 58875	{21.05.2022 11:27}
BLACKMARKET: 67390	{21.05.2022 11:20}
	[Wildfire-Staff] 6.1
CAERLEON: 128877	{21.05.2022 11:27}
BLACKMARKET: 126998	{21.05.2022 11:20}
	[Wildfire-Staff] 6.2
CAERLEON: 366999	{21.05.2022 11:27}
BLACKMARKET: 344997	{21.05.2022 11:20}
	[Wildfire-Staff] 7.0
CAERLEON: 150000	{21.05.2022 11:27}
BLACKMARKET: 161879	{21.05.2022 11:20}
	[Wildfire-Staff] 7.1
CAERLEON: 349988	{21.05.2022 11:27}
BLACKMARKET: 362996	{21.05.2022 11:20}
	[Wildfire-Staff] 7.2
CAERLEON: 1049999	{21.05.2022 11:27}
BLACKMARKET: 879969	{21.05.2022 11:20}
	[Wildfire-Staff] 8.0
CAERLEON: 399000	{21.05.2022 11:27}
BLACKMARKET: 407000	{21.05.2022 11:20}
	[Wildfire-Staff] 8.1
CAERLEON: 1300000	{21.05.2022 11:27}
BLACKMARKET: 749996	{21.05.2022 11:20}
	[Wildfire-Staff] 8.2
CAERLEON: -1	{21.05.2022 11:27}
BLACKMARKET: 1489999	{21.05.2022 11:20}
	[Witchwork-Staff] 6.0
CAERLEON: 60000	{21.05.2022 11:26}
BLACKMARKET: 63699	{21.05.2022 11:18}
	[Witchwork-Staff] 6.1
CAERLEON: 134999	{21.05.2022 11:26}
BLACKMARKET: 124990	{21.05.2022 11:18}
	[Witchwork-Staff] 6.2
CAERLEON: 399986	{21.05.2022 11:26}
BLACKMARKET: 344400	{21.05.2022 11:19}
	[Witchwork-Staff] 7.0
CAERLEON: 154215	{21.05.2022 11:26}
BLACKMARKET: -1	{21.05.2022 11:19}
	[Witchwork-Staff] 7.1
CAERLEON: 999997	{21.05.2022 11:26}
BLACKMARKET: 355555	{21.05.2022 11:19}
	[Witchwork-Staff] 7.2
CAERLEON: 1300000	{21.05.2022 11:26}
BLACKMARKET: 790990	{21.05.2022 11:19}
	[Witchwork-Staff] 8.0
CAERLEON: 300000	{21.05.2022 11:26}
BLACKMARKET: 355999	{21.05.2022 11:19}
	[Witchwork-Staff] 8.1
CAERLEON: -1	{21.05.2022 11:26}
BLACKMARKET: 849080	{21.05.2022 11:19}
	[Witchwork-Staff] 8.2
CAERLEON: -1	{21.05.2022 11:26}
BLACKMARKET: -1	{21.05.2022 11:19}
